CS1,CS2,CS3,CS4,CS5,CS6,Energie,Poids,N° image
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0423887603709834,3078.34978289112,65
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0335797521394467,3173.41305408814,66
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0211908200852943,3336.73383389617,67
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0279393821630442,3334.9200752343,68
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0401207052343056,3126.21049247765,69
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0405885045883962,3091.70851650392,70
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0286997814696435,3296.81735698423,71
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0349182313484427,3143.99441959617,72
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0219990605738625,3280.08705550074,73
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0226040167645199,3652.70743880052,74
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.043179460227899,3142.48942061686,75
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0449499806690639,3105.08160797381,76
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0446786000092083,3069.42545737918,77
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0353430421429097,3190.92310680767,78
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0221191169702249,3449.05803169353,79
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0440664616569264,3104.30992299244,80
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0447427098415252,3282.86399934577,81
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.021728609943179,3618.54933306482,82
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0214529913368942,3552.55817525199,83
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0330065753098735,3156.81950698243,84
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0204310600043769,3331.93261147773,85
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0445137109232499,3072.48550605259,86
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0439828820847876,3059.86029438394,87
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0408942419151908,3102.02364208685,88
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.021505942911414,3319.52352164872,89
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0208973926413557,3535.54734505542,90
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0218835795543098,3600.39117960144,91
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0204349095946384,3343.39949999456,92
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0388431704427522,3101.91049354996,93
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0207484229311193,3519.38890986741,94
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0207377767091461,3385.2040789008,95
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.023960694427667,3450.58852255524,96
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0282680550465139,3220.62293704862,97
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0438155167338846,3078.69116938752,98
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0449798337305151,3122.58057722434,99
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0201304043973454,3384.55976409344,100
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0247928362804229,3859.54573116214,101
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0410806219545815,3114.66958854943,102
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0253015181294169,3238.15737631709,103
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0405238910983614,3094.01159422279,104
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0213247273363278,3413.3548830172,105
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0441575728488911,3064.95552730708,106
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0373816202758602,3131.53753117639,107
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0206730058849687,3511.35834804423,108
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0299442410435824,3162.9804943342,109
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.024439449147381,3230.03156256398,110
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0443728958254537,3079.33133897907,111
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0216839637319259,3326.2250148007,112
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.023473243449092,3240.79473827822,113
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0203722960147744,3401.23950158653,114
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0246265117500854,3267.68644135395,115
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0445794311741444,3091.11014912029,116
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0344743719776767,3114.41350636556,117
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0439791967885309,3293.80657042474,118
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0219663072093158,3500.82857085402,119
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0206981317800648,3313.36413806554,120
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0203178129794704,3337.78511968871,121
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0237086505106909,3315.63394378179,122
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0249471189123856,3252.52987138259,123
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.021683421228115,3510.88722727792,124
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0440700649942857,3257.23657609272,125
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0341687689522648,3159.34411985977,126
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0330339211763963,3124.11842302903,127
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0449792010256889,3145.34918395885,128
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.044834285005572,3092.15269621758,129
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0224400956320883,3387.36929819298,130
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0293498544746147,3248.63470958215,131
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0242646089864793,3380.32380517271,132
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0228769085652354,3260.16034592734,133
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0446255513432344,3116.45359267938,134
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0256747822192153,3233.89780830187,135
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0355747732494065,3108.73301665321,136
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0215441865353975,3562.0208477662,137
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0428516572841147,3068.45540305772,138
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0448619170972588,3195.9551854709,139
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0208209399258019,3380.12062060909,140
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0211183488629929,3294.44031318426,141
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0423853165562698,3079.35405082601,142
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0375098571200059,3143.55868477586,143
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0334570487215046,3211.05001772337,144
